year,node_id,zone,impervious_pct,pervious_pct,runoff_coefficient,horton_f0_mm_hr,horton_finf_mm_hr,horton_decay_k
2025,J_BAL_018,Balkapur Nala & Central Zone,88.36,11.64,0.813,18.73,3.16,3.5
2010,J_BAL_019,Balkapur Nala & Central Zone,67.76,32.24,0.658,34.18,5.22,3.5
2011,J_BAL_019,Balkapur Nala & Central Zone,68.18,31.82,0.661,33.86,5.18,3.5
2012,J_BAL_019,Balkapur Nala & Central Zone,68.78,31.22,0.666,33.42,5.12,3.5
2013,J_BAL_019,Balkapur Nala & Central Zone,69.6,30.4,0.672,32.8,5.04,3.5
2014,J_BAL_019,Balkapur Nala & Central Zone,70.7,29.3,0.68,31.98,4.93,3.5
2015,J_BAL_019,Balkapur Nala & Central Zone,72.09,27.91,0.691,30.93,4.79,3.5
2016,J_BAL_019,Balkapur Nala & Central Zone,73.76,26.24,0.703,29.68,4.62,3.5
2017,J_BAL_019,Balkapur Nala & Central Zone,75.63,24.37,0.717,28.27,4.44,3.5
2018,J_BAL_019,Balkapur Nala & Central Zone,77.58,22.42,0.732,26.81,4.24,3.5
2019,J_BAL_019,Balkapur Nala & Central Zone,79.46,20.54,0.746,25.41,4.05,3.5
2020,J_BAL_019,Balkapur Nala & Central Zone,81.13,18.87,0.758,24.15,3.89,3.5
2021,J_BAL_019,Balkapur Nala & Central Zone,82.52,17.48,0.769,23.11,3.75,3.5
2022,J_BAL_019,Balkapur Nala & Central Zone,83.62,16.38,0.777,22.29,3.64,3.5
2023,J_BAL_019,Balkapur Nala & Central Zone,84.44,15.56,0.783,21.67,3.56,3.5
2024,J_BAL_019,Balkapur Nala & Central Zone,85.04,14.96,0.788,21.22,3.5,3.5
2025,J_BAL_019,Balkapur Nala & Central Zone,85.46,14.54,0.791,20.9,3.45,3.5
2010,J_BAL_020,Balkapur Nala & Central Zone,69.99,30.01,0.675,32.51,5.0,3.5
2011,J_BAL_020,Balkapur Nala & Central Zone,70.4,29.6,0.678,32.2,4.96,3.5
2012,J_BAL_020,Balkapur Nala & Central Zone,70.97,29.03,0.682,31.78,4.9,3.5
2013,J_BAL_020,Balkapur Nala & Central Zone,71.75,28.25,0.688,31.19,4.82,3.5
2014,J_BAL_020,Balkapur Nala & Central Zone,72.8,27.2,0.696,30.4,4.72,3.5
2015,J_BAL_020,Balkapur Nala & Central Zone,74.12,25.88,0.706,29.41,4.59,3.5
2016,J_BAL_020,Balkapur Nala & Central Zone,75.72,24.28,0.718,28.21,4.43,3.5
2017,J_BAL_020,Balkapur Nala & Central Zone,77.5,22.5,0.731,26.87,4.25,3.5
2018,J_BAL_020,Balkapur Nala & Central Zone,79.36,20.64,0.745,25.48,4.06,3.5
2019,J_BAL_020,Balkapur Nala & Central Zone,81.15,18.85,0.759,24.14,3.88,3.5
2020,J_BAL_020,Balkapur Nala & Central Zone,82.74,17.26,0.771,22.94,3.73,3.5
2021,J_BAL_020,Balkapur Nala & Central Zone,84.07,15.93,0.781,21.95,3.59,3.5
2022,J_BAL_020,Balkapur Nala & Central Zone,85.11,14.89,0.788,21.16,3.49,3.5
2023,J_BAL_020,Balkapur Nala & Central Zone,85.9,14.1,0.794,20.58,3.41,3.5
2024,J_BAL_020,Balkapur Nala & Central Zone,86.47,13.53,0.799,20.15,3.35,3.5
2025,J_BAL_020,Balkapur Nala & Central Zone,86.88,13.12,0.802,19.84,3.31,3.5
2010,J_BAL_021,Balkapur Nala & Central Zone,66.79,33.21,0.651,34.91,5.32,3.5
2011,J_BAL_021,Balkapur Nala & Central Zone,67.27,32.73,0.655,34.55,5.27,3.5
2012,J_BAL_021,Balkapur Nala & Central Zone,67.95,32.05,0.66,34.04,5.2,3.5
2013,J_BAL_021,Balkapur Nala & Central Zone,68.89,31.11,0.667,33.33,5.11,3.5
2014,J_BAL_021,Balkapur Nala & Central Zone,70.13,29.87,0.676,32.4,4.99,3.5
2015,J_BAL_021,Balkapur Nala & Central Zone,71.72,28.28,0.688,31.21,4.83,3.5
2016,J_BAL_021,Balkapur Nala & Central Zone,73.62,26.38,0.702,29.79,4.64,3.5
2017,J_BAL_021,Balkapur Nala & Central Zone,75.75,24.25,0.718,28.19,4.43,3.5
2018,J_BAL_021,Balkapur Nala & Central Zone,77.97,22.03,0.735,26.53,4.2,3.5
2019,J_BAL_021,Balkapur Nala & Central Zone,80.1,19.9,0.751,24.93,3.99,3.5
2020,J_BAL_021,Balkapur Nala & Central Zone,82.0,18.0,0.765,23.5,3.8,3.5
2021,J_BAL_021,Balkapur Nala & Central Zone,83.58,16.42,0.777,22.32,3.64,3.5
2022,J_BAL_021,Balkapur Nala & Central Zone,84.82,15.18,0.786,21.38,3.52,3.5
2023,J_BAL_021,Balkapur Nala & Central Zone,85.76,14.24,0.793,20.68,3.42,3.5
2024,J_BAL_021,Balkapur Nala & Central Zone,86.44,13.56,0.798,20.17,3.36,3.5
2025,J_BAL_021,Balkapur Nala & Central Zone,86.93,13.07,0.802,19.81,3.31,3.5
2010,J_BAL_022,Balkapur Nala & Central Zone,66.36,33.64,0.648,35.23,5.36,3.5
2011,J_BAL_022,Balkapur Nala & Central Zone,66.9,33.1,0.652,34.83,5.31,3.5
2012,J_BAL_022,Balkapur Nala & Central Zone,67.64,32.36,0.657,34.27,5.24,3.5
2013,J_BAL_022,Balkapur Nala & Central Zone,68.67,31.33,0.665,33.5,5.13,3.5
2014,J_BAL_022,Balkapur Nala & Central Zone,70.04,29.96,0.675,32.47,5.0,3.5
2015,J_BAL_022,Balkapur Nala & Central Zone,71.78,28.22,0.688,31.17,4.82,3.5
2016,J_BAL_022,Balkapur Nala & Central Zone,73.86,26.14,0.704,29.6,4.61,3.5
2017,J_BAL_022,Balkapur Nala & Central Zone,76.2,23.8,0.722,27.85,4.38,3.5
2018,J_BAL_022,Balkapur Nala & Central Zone,78.64,21.36,0.74,26.02,4.14,3.5
2019,J_BAL_022,Balkapur Nala & Central Zone,80.98,19.02,0.757,24.26,3.9,3.5
2020,J_BAL_022,Balkapur Nala & Central Zone,83.07,16.93,0.773,22.7,3.69,3.5
2021,J_BAL_022,Balkapur Nala & Central Zone,84.8,15.2,0.786,21.4,3.52,3.5
2022,J_BAL_022,Balkapur Nala & Central Zone,86.17,13.83,0.796,20.37,3.38,3.5
2023,J_BAL_022,Balkapur Nala & Central Zone,87.2,12.8,0.804,19.6,3.28,3.5
2024,J_BAL_022,Balkapur Nala & Central Zone,87.95,12.05,0.81,19.04,3.21,3.5
2025,J_BAL_022,Balkapur Nala & Central Zone,88.48,11.52,0.814,18.64,3.15,3.5
2010,J_BAL_023,Balkapur Nala & Central Zone,67.6,32.4,0.657,34.3,5.24,3.5
2011,J_BAL_023,Balkapur Nala & Central Zone,68.08,31.92,0.661,33.94,5.19,3.5
2012,J_BAL_023,Balkapur Nala & Central Zone,68.76,31.24,0.666,33.43,5.12,3.5
2013,J_BAL_023,Balkapur Nala & Central Zone,69.69,30.31,0.673,32.73,5.03,3.5
2014,J_BAL_023,Balkapur Nala & Central Zone,70.92,29.08,0.682,31.81,4.91,3.5
2015,J_BAL_023,Balkapur Nala & Central Zone,72.5,27.5,0.694,30.63,4.75,3.5
2016,J_BAL_023,Balkapur Nala & Central Zone,74.38,25.62,0.708,29.21,4.56,3.5
2017,J_BAL_023,Balkapur Nala & Central Zone,76.5,23.5,0.724,27.62,4.35,3.5
2018,J_BAL_023,Balkapur Nala & Central Zone,78.7,21.3,0.74,25.97,4.13,3.5
2019,J_BAL_023,Balkapur Nala & Central Zone,80.82,19.18,0.756,24.38,3.92,3.5
2020,J_BAL_023,Balkapur Nala & Central Zone,82.71,17.29,0.77,22.97,3.73,3.5
2021,J_BAL_023,Balkapur Nala & Central Zone,84.28,15.72,0.782,21.79,3.57,3.5
2022,J_BAL_023,Balkapur Nala & Central Zone,85.52,14.48,0.791,20.86,3.45,3.5
2023,J_BAL_023,Balkapur Nala & Central Zone,86.45,13.55,0.798,20.17,3.36,3.5
2024,J_BAL_023,Balkapur Nala & Central Zone,87.12,12.88,0.803,19.66,3.29,3.5
2025,J_BAL_023,Balkapur Nala & Central Zone,87.6,12.4,0.807,19.3,3.24,3.5
2010,J_BAL_024,Balkapur Nala & Central Zone,67.88,32.12,0.659,34.09,5.21,3.5
2011,J_BAL_024,Balkapur Nala & Central Zone,68.34,31.66,0.663,33.75,5.17,3.5
2012,J_BAL_024,Balkapur Nala & Central Zone,68.99,31.01,0.667,33.26,5.1,3.5
2013,J_BAL_024,Balkapur Nala & Central Zone,69.88,30.12,0.674,32.59,5.01,3.5
2014,J_BAL_024,Balkapur Nala & Central Zone,71.07,28.93,0.683,31.7,4.89,3.5
2015,J_BAL_024,Balkapur Nala & Central Zone,72.57,27.43,0.694,30.57,4.74,3.5
2016,J_BAL_024,Balkapur Nala & Central Zone,74.39,25.61,0.708,29.21,4.56,3.5
2017,J_BAL_024,Balkapur Nala & Central Zone,76.42,23.58,0.723,27.69,4.36,3.5
2018,J_BAL_024,Balkapur Nala & Central Zone,78.53,21.47,0.739,26.1,4.15,3.5
2019,J_BAL_024,Balkapur Nala & Central Zone,80.56,19.44,0.754,24.58,3.94,3.5
2020,J_BAL_024,Balkapur Nala & Central Zone,82.38,17.62,0.768,23.22,3.76,3.5
2021,J_BAL_024,Balkapur Nala & Central Zone,83.88,16.12,0.779,22.09,3.61,3.5
2022,J_BAL_024,Balkapur Nala & Central Zone,85.07,14.93,0.788,21.2,3.49,3.5
2023,J_BAL_024,Balkapur Nala & Central Zone,85.96,14.04,0.795,20.53,3.4,3.5
2024,J_BAL_024,Balkapur Nala & Central Zone,86.61,13.39,0.8,20.04,3.34,3.5
2025,J_BAL_024,Balkapur Nala & Central Zone,87.07,12.93,0.803,19.69,3.29,3.5
2010,J_BAL_025,Balkapur Nala & Central Zone,69.16,30.84,0.669,33.13,5.08,3.5
2011,J_BAL_025,Balkapur Nala & Central Zone,69.56,30.44,0.672,32.83,5.04,3.5
2012,J_BAL_025,Balkapur Nala & Central Zone,70.12,29.88,0.676,32.41,4.99,3.5
2013,J_BAL_025,Balkapur Nala & Central Zone,70.9,29.1,0.682,31.83,4.91,3.5
2014,J_BAL_025,Balkapur Nala & Central Zone,71.93,28.07,0.689,31.05,4.81,3.5
2015,J_BAL_025,Balkapur Nala & Central Zone,73.24,26.76,0.699,30.07,4.68,3.5
2016,J_BAL_025,Balkapur Nala & Central Zone,74.82,25.18,0.711,28.88,4.52,3.5
2017,J_BAL_025,Balkapur Nala & Central Zone,76.59,23.41,0.724,27.56,4.34,3.5
2018,J_BAL_025,Balkapur Nala & Central Zone,78.43,21.57,0.738,26.18,4.16,3.5
2019,J_BAL_025,Balkapur Nala & Central Zone,80.2,19.8,0.751,24.85,3.98,3.5
2020,J_BAL_025,Balkapur Nala & Central Zone,81.77,18.23,0.763,23.67,3.82,3.5
2021,J_BAL_025,Balkapur Nala & Central Zone,83.09,16.91,0.773,22.68,3.69,3.5
2022,J_BAL_025,Balkapur Nala & Central Zone,84.12,15.88,0.781,21.91,3.59,3.5
2023,J_BAL_025,Balkapur Nala & Central Zone,84.9,15.1,0.787,21.33,3.51,3.5
2024,J_BAL_025,Balkapur Nala & Central Zone,85.46,14.54,0.791,20.9,3.45,3.5
2025,J_BAL_025,Balkapur Nala & Central Zone,85.86,14.14,0.794,20.6,3.41,3.5
2010,J_BAL_026,Balkapur Nala & Central Zone,71.68,28.32,0.688,31.24,4.83,3.5
2011,J_BAL_026,Balkapur Nala & Central Zone,72.08,27.92,0.691,30.94,4.79,3.5
2012,J_BAL_026,Balkapur Nala & Central Zone,72.64,27.36,0.695,30.52,4.74,3.5
2013,J_BAL_026,Balkapur Nala & Central Zone,73.41,26.59,0.701,29.94,4.66,3.5
2014,J_BAL_026,Balkapur Nala & Central Zone,74.43,25.57,0.708,29.17,4.56,3.5
2015,J_BAL_026,Balkapur Nala & Central Zone,75.73,24.27,0.718,28.2,4.43,3.5
2016,J_BAL_026,Balkapur Nala & Central Zone,77.3,22.7,0.73,27.03,4.27,3.5
2017,J_BAL_026,Balkapur Nala & Central Zone,79.05,20.95,0.743,25.71,4.1,3.5
2018,J_BAL_026,Balkapur Nala & Central Zone,80.87,19.13,0.757,24.35,3.91,3.5
2019,J_BAL_026,Balkapur Nala & Central Zone,82.62,17.38,0.77,23.03,3.74,3.5
2020,J_BAL_026,Balkapur Nala & Central Zone,84.18,15.82,0.781,21.86,3.58,3.5
2021,J_BAL_026,Balkapur Nala & Central Zone,85.48,14.52,0.791,20.89,3.45,3.5
2022,J_BAL_026,Balkapur Nala & Central Zone,86.51,13.49,0.799,20.12,3.35,3.5
2023,J_BAL_026,Balkapur Nala & Central Zone,87.28,12.72,0.805,19.54,3.27,3.5
2024,J_BAL_026,Balkapur Nala & Central Zone,87.84,12.16,0.809,19.12,3.22,3.5
2025,J_BAL_026,Balkapur Nala & Central Zone,88.23,11.77,0.812,18.82,3.18,3.5
2010,J_BAL_027,Balkapur Nala & Central Zone,71.54,28.46,0.687,31.35,4.85,3.5
2011,J_BAL_027,Balkapur Nala & Central Zone,71.95,28.05,0.69,31.04,4.81,3.5
2012,J_BAL_027,Balkapur Nala & Central Zone,72.53,27.47,0.694,30.61,4.75,3.5
2013,J_BAL_027,Balkapur Nala & Central Zone,73.32,26.68,0.7,30.01,4.67,3.5
2014,J_BAL_027,Balkapur Nala & Central Zone,74.38,25.62,0.708,29.21,4.56,3.5
2015,J_BAL_027,Balkapur Nala & Central Zone,75.73,24.27,0.718,28.2,4.43,3.5
2016,J_BAL_027,Balkapur Nala & Central Zone,77.35,22.65,0.73,26.99,4.27,3.5
2017,J_BAL_027,Balkapur Nala & Central Zone,79.16,20.84,0.744,25.63,4.08,3.5
2018,J_BAL_027,Balkapur Nala & Central Zone,81.05,18.95,0.758,24.21,3.89,3.5
2019,J_BAL_027,Balkapur Nala & Central Zone,82.87,17.13,0.772,22.85,3.71,3.5
2020,J_BAL_027,Balkapur Nala & Central Zone,84.48,15.52,0.784,21.64,3.55,3.5
2021,J_BAL_027,Balkapur Nala & Central Zone,85.83,14.17,0.794,20.63,3.42,3.5
2022,J_BAL_027,Balkapur Nala & Central Zone,86.89,13.11,0.802,19.83,3.31,3.5
2023,J_BAL_027,Balkapur Nala & Central Zone,87.69,12.31,0.808,19.23,3.23,3.5
2024,J_BAL_027,Balkapur Nala & Central Zone,88.27,11.73,0.812,18.8,3.17,3.5
2025,J_BAL_027,Balkapur Nala & Central Zone,88.68,11.32,0.815,18.49,3.13,3.5
2010,J_BAL_028,Balkapur Nala & Central Zone,69.59,30.41,0.672,32.81,5.04,3.5
2011,J_BAL_028,Balkapur Nala & Central Zone,70.05,29.95,0.675,32.47,5.0,3.5
2012,J_BAL_028,Balkapur Nala & Central Zone,70.69,29.31,0.68,31.98,4.93,3.5
2013,J_BAL_028,Balkapur Nala & Central Zone,71.58,28.42,0.687,31.31,4.84,3.5
2014,J_BAL_028,Balkapur Nala & Central Zone,72.76,27.24,0.696,30.43,4.72,3.5
2015,J_BAL_028,Balkapur Nala & Central Zone,74.26,25.74,0.707,29.3,4.57,3.5
2016,J_BAL_028,Balkapur Nala & Central Zone,76.06,23.94,0.72,27.95,4.39,3.5
2017,J_BAL_028,Balkapur Nala & Central Zone,78.09,21.91,0.736,26.44,4.19,3.5
2018,J_BAL_028,Balkapur Nala & Central Zone,80.19,19.81,0.751,24.86,3.98,3.5
2019,J_BAL_028,Balkapur Nala & Central Zone,82.21,17.79,0.767,23.34,3.78,3.5
2020,J_BAL_028,Balkapur Nala & Central Zone,84.01,15.99,0.78,21.99,3.6,3.5
2021,J_BAL_028,Balkapur Nala & Central Zone,85.51,14.49,0.791,20.86,3.45,3.5
2022,J_BAL_028,Balkapur Nala & Central Zone,86.69,13.31,0.8,19.98,3.33,3.5
2023,J_BAL_028,Balkapur Nala & Central Zone,87.58,12.42,0.807,19.31,3.24,3.5
2024,J_BAL_028,Balkapur Nala & Central Zone,88.23,11.77,0.812,18.83,3.18,3.5
2025,J_BAL_028,Balkapur Nala & Central Zone,88.69,11.31,0.815,18.48,3.13,3.5
2010,J_BAL_029,Balkapur Nala & Central Zone,66.54,33.46,0.649,35.1,5.35,3.5
2011,J_BAL_029,Balkapur Nala & Central Zone,67.0,33.0,0.653,34.75,5.3,3.5
2012,J_BAL_029,Balkapur Nala & Central Zone,67.65,32.35,0.657,34.26,5.23,3.5
2013,J_BAL_029,Balkapur Nala & Central Zone,68.55,31.45,0.664,33.59,5.15,3.5
2014,J_BAL_029,Balkapur Nala & Central Zone,69.74,30.26,0.673,32.7,5.03,3.5
2015,J_BAL_029,Balkapur Nala & Central Zone,71.25,28.75,0.684,31.56,4.88,3.5
2016,J_BAL_029,Balkapur Nala & Central Zone,73.06,26.94,0.698,30.2,4.69,3.5
2017,J_BAL_029,Balkapur Nala & Central Zone,75.1,24.9,0.713,28.68,4.49,3.5
2018,J_BAL_029,Balkapur Nala & Central Zone,77.22,22.78,0.729,27.09,4.28,3.5
2019,J_BAL_029,Balkapur Nala & Central Zone,79.25,20.75,0.744,25.56,4.07,3.5
2020,J_BAL_029,Balkapur Nala & Central Zone,81.07,18.93,0.758,24.2,3.89,3.5
2021,J_BAL_029,Balkapur Nala & Central Zone,82.58,17.42,0.769,23.07,3.74,3.5
2022,J_BAL_029,Balkapur Nala & Central Zone,83.77,16.23,0.778,22.17,3.62,3.5
2023,J_BAL_029,Balkapur Nala & Central Zone,84.66,15.34,0.785,21.5,3.53,3.5
2024,J_BAL_029,Balkapur Nala & Central Zone,85.31,14.69,0.79,21.01,3.47,3.5
2025,J_BAL_029,Balkapur Nala & Central Zone,85.78,14.22,0.793,20.67,3.42,3.5
2010,J_BAL_030,Balkapur Nala & Central Zone,66.32,33.68,0.647,35.26,5.37,3.5
2011,J_BAL_030,Balkapur Nala & Central Zone,66.79,33.21,0.651,34.9,5.32,3.5
2012,J_BAL_030,Balkapur Nala & Central Zone,67.47,32.53,0.656,34.4,5.25,3.5
2013,J_BAL_030,Balkapur Nala & Central Zone,68.4,31.6,0.663,33.7,5.16,3.5
2014,J_BAL_030,Balkapur Nala & Central Zone,69.63,30.37,0.672,32.78,5.04,3.5
2015,J_BAL_030,Balkapur Nala & Central Zone,71.2,28.8,0.684,31.6,4.88,3.5
2016,J_BAL_030,Balkapur Nala & Central Zone,73.08,26.92,0.698,30.19,4.69,3.5
2017,J_BAL_030,Balkapur Nala & Central Zone,75.19,24.81,0.714,28.61,4.48,3.5
2018,J_BAL_030,Balkapur Nala & Central Zone,77.38,22.62,0.73,26.96,4.26,3.5
2019,J_BAL_030,Balkapur Nala & Central Zone,79.5,20.5,0.746,25.38,4.05,3.5
2020,J_BAL_030,Balkapur Nala & Central Zone,81.38,18.62,0.76,23.97,3.86,3.5
2021,J_BAL_030,Balkapur Nala & Central Zone,82.94,17.06,0.772,22.79,3.71,3.5
2022,J_BAL_030,Balkapur Nala & Central Zone,84.18,15.82,0.781,21.87,3.58,3.5
2023,J_BAL_030,Balkapur Nala & Central Zone,85.1,14.9,0.788,21.17,3.49,3.5
2024,J_BAL_030,Balkapur Nala & Central Zone,85.78,14.22,0.793,20.67,3.42,3.5
2025,J_BAL_030,Balkapur Nala & Central Zone,86.26,13.74,0.797,20.31,3.37,3.5
2010,J_HUS_031,Hussain Sagar Surplus & Ashok Nagar,72.17,27.83,0.691,30.87,4.78,3.5
2011,J_HUS_031,Hussain Sagar Surplus & Ashok Nagar,72.56,27.44,0.694,30.58,4.74,3.5
2012,J_HUS_031,Hussain Sagar Surplus & Ashok Nagar,73.1,26.9,0.698,30.17,4.69,3.5
2013,J_HUS_031,Hussain Sagar Surplus & Ashok Nagar,73.85,26.15,0.704,29.61,4.61,3.5
2014,J_HUS_031,Hussain Sagar Surplus & Ashok Nagar,74.84,25.16,0.711,28.87,4.52,3.5
2015,J_HUS_031,Hussain Sagar Surplus & Ashok Nagar,76.11,23.89,0.721,27.92,4.39,3.5
2016,J_HUS_031,Hussain Sagar Surplus & Ashok Nagar,77.62,22.38,0.732,26.78,4.24,3.5
2017,J_HUS_031,Hussain Sagar Surplus & Ashok Nagar,79.32,20.68,0.745,25.51,4.07,3.5
2018,J_HUS_031,Hussain Sagar Surplus & Ashok Nagar,81.09,18.91,0.758,24.18,3.89,3.5
2019,J_HUS_031,Hussain Sagar Surplus & Ashok Nagar,82.79,17.21,0.771,22.9,3.72,3.5
2020,J_HUS_031,Hussain Sagar Surplus & Ashok Nagar,84.31,15.69,0.782,21.77,3.57,3.5
2021,J_HUS_031,Hussain Sagar Surplus & Ashok Nagar,85.57,14.43,0.792,20.82,3.44,3.5
2022,J_HUS_031,Hussain Sagar Surplus & Ashok Nagar,86.57,13.43,0.799,20.07,3.34,3.5
2023,J_HUS_031,Hussain Sagar Surplus & Ashok Nagar,87.31,12.69,0.805,19.51,3.27,3.5
2024,J_HUS_031,Hussain Sagar Surplus & Ashok Nagar,87.86,12.14,0.809,19.11,3.21,3.5
2025,J_HUS_031,Hussain Sagar Surplus & Ashok Nagar,88.24,11.76,0.812,18.82,3.18,3.5
2010,J_HUS_032,Hussain Sagar Surplus & Ashok Nagar,74.71,25.29,0.71,28.97,4.53,3.5
2011,J_HUS_032,Hussain Sagar Surplus & Ashok Nagar,75.04,24.96,0.713,28.72,4.5,3.5
2012,J_HUS_032,Hussain Sagar Surplus & Ashok Nagar,75.51,24.49,0.716,28.36,4.45,3.5
2013,J_HUS_032,Hussain Sagar Surplus & Ashok Nagar,76.16,23.84,0.721,27.88,4.38,3.5
2014,J_HUS_032,Hussain Sagar Surplus & Ashok Nagar,77.03,22.97,0.728,27.23,4.3,3.5
2015,J_HUS_032,Hussain Sagar Surplus & Ashok Nagar,78.13,21.87,0.736,26.4,4.19,3.5
2016,J_HUS_032,Hussain Sagar Surplus & Ashok Nagar,79.45,20.55,0.746,25.41,4.06,3.5
2017,J_HUS_032,Hussain Sagar Surplus & Ashok Nagar,80.93,19.07,0.757,24.3,3.91,3.5
2018,J_HUS_032,Hussain Sagar Surplus & Ashok Nagar,82.47,17.53,0.769,23.15,3.75,3.5
2019,J_HUS_032,Hussain Sagar Surplus & Ashok Nagar,83.95,16.05,0.78,22.04,3.6,3.5
2020,J_HUS_032,Hussain Sagar Surplus & Ashok Nagar,85.27,14.73,0.79,21.05,3.47,3.5
2021,J_HUS_032,Hussain Sagar Surplus & Ashok Nagar,86.37,13.63,0.798,20.22,3.36,3.5
2022,J_HUS_032,Hussain Sagar Surplus & Ashok Nagar,87.23,12.77,0.804,19.57,3.28,3.5
2023,J_HUS_032,Hussain Sagar Surplus & Ashok Nagar,87.89,12.11,0.809,19.09,3.21,3.5
2024,J_HUS_032,Hussain Sagar Surplus & Ashok Nagar,88.36,11.64,0.813,18.73,3.16,3.5
2025,J_HUS_032,Hussain Sagar Surplus & Ashok Nagar,88.69,11.31,0.815,18.48,3.13,3.5
2010,J_HUS_033,Hussain Sagar Surplus & Ashok Nagar,71.61,28.39,0.687,31.29,4.84,3.5
2011,J_HUS_033,Hussain Sagar Surplus & Ashok Nagar,72.03,27.97,0.69,30.98,4.8,3.5
2012,J_HUS_033,Hussain Sagar Surplus & Ashok Nagar,72.63,27.37,0.695,30.53,4.74,3.5
2013,J_HUS_033,Hussain Sagar Surplus & Ashok Nagar,73.45,26.55,0.701,29.91,4.66,3.5
2014,J_HUS_033,Hussain Sagar Surplus & Ashok Nagar,74.54,25.46,0.709,29.09,4.55,3.5
2015,J_HUS_033,Hussain Sagar Surplus & Ashok Nagar,75.93,24.07,0.719,28.06,4.41,3.5
2016,J_HUS_033,Hussain Sagar Surplus & Ashok Nagar,77.59,22.41,0.732,26.81,4.24,3.5
2017,J_HUS_033,Hussain Sagar Surplus & Ashok Nagar,79.46,20.54,0.746,25.41,4.05,3.5
2018,J_HUS_033,Hussain Sagar Surplus & Ashok Nagar,81.4,18.6,0.76,23.95,3.86,3.5
2019,J_HUS_033,Hussain Sagar Surplus & Ashok Nagar,83.27,16.73,0.774,22.55,3.67,3.5
2020,J_HUS_033,Hussain Sagar Surplus & Ashok Nagar,84.93,15.07,0.787,21.3,3.51,3.5
2021,J_HUS_033,Hussain Sagar Surplus & Ashok Nagar,86.32,13.68,0.797,20.26,3.37,3.5
2022,J_HUS_033,Hussain Sagar Surplus & Ashok Nagar,87.41,12.59,0.806,19.44,3.26,3.5
2023,J_HUS_033,Hussain Sagar Surplus & Ashok Nagar,88.23,11.77,0.812,18.83,3.18,3.5
2024,J_HUS_033,Hussain Sagar Surplus & Ashok Nagar,88.82,11.18,0.816,18.38,3.12,3.5
2025,J_HUS_033,Hussain Sagar Surplus & Ashok Nagar,89.25,10.75,0.819,18.06,3.08,3.5
2010,J_HUS_034,Hussain Sagar Surplus & Ashok Nagar,70.86,29.14,0.681,31.86,4.91,3.5
2011,J_HUS_034,Hussain Sagar Surplus & Ashok Nagar,71.32,28.68,0.685,31.51,4.87,3.5
2012,J_HUS_034,Hussain Sagar Surplus & Ashok Nagar,71.98,28.02,0.69,31.02,4.8,3.5
2013,J_HUS_034,Hussain Sagar Surplus & Ashok Nagar,72.88,27.12,0.697,30.34,4.71,3.5
2014,J_HUS_034,Hussain Sagar Surplus & Ashok Nagar,74.07,25.93,0.706,29.45,4.59,3.5
2015,J_HUS_034,Hussain Sagar Surplus & Ashok Nagar,75.59,24.41,0.717,28.31,4.44,3.5
2016,J_HUS_034,Hussain Sagar Surplus & Ashok Nagar,77.42,22.58,0.731,26.94,4.26,3.5
2017,J_HUS_034,Hussain Sagar Surplus & Ashok Nagar,79.46,20.54,0.746,25.4,4.05,3.5
2018,J_HUS_034,Hussain Sagar Surplus & Ashok Nagar,81.59,18.41,0.762,23.81,3.84,3.5
2019,J_HUS_034,Hussain Sagar Surplus & Ashok Nagar,83.64,16.36,0.777,22.27,3.64,3.5
2020,J_HUS_034,Hussain Sagar Surplus & Ashok Nagar,85.46,14.54,0.791,20.9,3.45,3.5
2021,J_HUS_034,Hussain Sagar Surplus & Ashok Nagar,86.98,13.02,0.802,19.76,3.3,3.5
2022,J_HUS_034,Hussain Sagar Surplus & Ashok Nagar,88.18,11.82,0.811,18.87,3.18,3.5
2023,J_HUS_034,Hussain Sagar Surplus & Ashok Nagar,89.08,10.92,0.818,18.19,3.09,3.5
2024,J_HUS_034,Hussain Sagar Surplus & Ashok Nagar,89.73,10.27,0.823,17.7,3.03,3.5
2025,J_HUS_034,Hussain Sagar Surplus & Ashok Nagar,90.2,9.8,0.826,17.35,2.98,3.5
2010,J_HUS_035,Hussain Sagar Surplus & Ashok Nagar,70.51,29.49,0.679,32.11,4.95,3.5
2011,J_HUS_035,Hussain Sagar Surplus & Ashok Nagar,71.0,29.0,0.683,31.75,4.9,3.5
2012,J_HUS_035,Hussain Sagar Surplus & Ashok Nagar,71.69,28.31,0.688,31.23,4.83,3.5
2013,J_HUS_035,Hussain Sagar Surplus & Ashok Nagar,72.64,27.36,0.695,30.52,4.74,3.5
2014,J_HUS_035,Hussain Sagar Surplus & Ashok Nagar,73.9,26.1,0.704,29.58,4.61,3.5
2015,J_HUS_035,Hussain Sagar Surplus & Ashok Nagar,75.5,24.5,0.716,28.38,4.45,3.5
2016,J_HUS_035,Hussain Sagar Surplus & Ashok Nagar,77.42,22.58,0.731,26.93,4.26,3.5
2017,J_HUS_035,Hussain Sagar Surplus & Ashok Nagar,79.58,20.42,0.747,25.32,4.04,3.5
2018,J_HUS_035,Hussain Sagar Surplus & Ashok Nagar,81.82,18.18,0.764,23.64,3.82,3.5
2019,J_HUS_035,Hussain Sagar Surplus & Ashok Nagar,83.97,16.03,0.78,22.02,3.6,3.5
2020,J_HUS_035,Hussain Sagar Surplus & Ashok Nagar,85.9,14.1,0.794,20.58,3.41,3.5
